date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:13:30	3449/3449	---MCZ	200	added ('OK')	text/html	etag:%223f906cf5362bf83bf4e71dc29f38d6ba-ssl-df%22	https://botspaceman1211.netlify.app/css/font/fontawesome-webfont3e6e-3.html?v=4.7.0	C:/My%20Web%20Sites/spcv22/botspaceman1211.netlify.app/css/font/fontawesome-webfont3e6e-33e6e.html	(from https://botspaceman1211.netlify.app/css/font-awesome.css)
02:13:31	3449/3449	---MCZ	200	added ('OK')	text/html	etag:%223f906cf5362bf83bf4e71dc29f38d6ba-ssl-df%22	https://botspaceman1211.netlify.app/css/font/fontawesome-webfont3e6e-4.html?v=4.7.0	C:/My%20Web%20Sites/spcv22/botspaceman1211.netlify.app/css/font/fontawesome-webfont3e6e-43e6e.html	(from https://botspaceman1211.netlify.app/css/font-awesome.css)
02:13:32	16495/16495	---MCZ	200	added ('OK')	text/html	etag:%22787a846330c06f7a64d8ac01a4eb91c7-ssl-df%22	https://botspaceman1211.netlify.app/index.html	C:/My%20Web%20Sites/spcv22/botspaceman1211.netlify.app/index-2.html	(from https://botspaceman1211.netlify.app/css/bootstrap.min.css)
02:13:32	1656/1656	---M-Z	200	added ('OK')	text/html	etag:%22550b72b6e81b9113bbc97c1a6d8dbf58-ssl-df%22	https://botspaceman1211.netlify.app/cash.html	C:/My%20Web%20Sites/spcv22/botspaceman1211.netlify.app/cash.html	(from https://botspaceman1211.netlify.app/css/style.css)
02:13:33	1656/1656	---MCZ	200	added ('OK')	text/html	etag:%229373f823bd215984d5d7cf4c9aa72f39-ssl-df%22	https://botspaceman1211.netlify.app/gold.html	C:/My%20Web%20Sites/spcv22/botspaceman1211.netlify.app/gold.html	(from https://botspaceman1211.netlify.app/css/style.css)
02:13:34	1656/1656	---M-Z	200	added ('OK')	text/html	etag:%22283b2d3adccd3e6a1c8d7af23b1277a6-ssl-df%22	https://botspaceman1211.netlify.app/iso8.html	C:/My%20Web%20Sites/spcv22/botspaceman1211.netlify.app/iso8.html	(from https://botspaceman1211.netlify.app/css/style.css)
02:13:34	1652/1652	---MCZ	200	added ('OK')	text/html	etag:%22c9688670dc0fc01ab71956219ee8d7c8-ssl-df%22	https://botspaceman1211.netlify.app/rp.html	C:/My%20Web%20Sites/spcv22/botspaceman1211.netlify.app/rp.html	(from https://botspaceman1211.netlify.app/css/style.css)
02:13:35	3449/3449	---MCZ	200	added ('OK')	text/html	etag:%223f906cf5362bf83bf4e71dc29f38d6ba-ssl-df%22	https://botspaceman1211.netlify.app/css/img/usr.html	C:/My%20Web%20Sites/spcv22/botspaceman1211.netlify.app/css/img/usr.html	(from https://botspaceman1211.netlify.app/css/style.css)
02:13:35	3449/3449	---MCZ	200	added ('OK')	text/html	etag:%223f906cf5362bf83bf4e71dc29f38d6ba-ssl-df%22	https://botspaceman1211.netlify.app/css/img/arrow.html	C:/My%20Web%20Sites/spcv22/botspaceman1211.netlify.app/css/img/arrow.html	(from https://botspaceman1211.netlify.app/css/style.css)
02:13:37	1660/1660	---M-Z	200	added ('OK')	text/html	etag:%220d9e3070422ffb90f25e54f632e81835-ssl-df%22	https://botspaceman1211.netlify.app/sprite.html	C:/My%20Web%20Sites/spcv22/botspaceman1211.netlify.app/sprite.html	(from https://botspaceman1211.netlify.app/css/style.css)
